Salsa 4 Formaggi bolsa x 360gs KNORR, $ 105.48 , salsas ,489
Salsa Demiglas bolsa x 1kg KNORR, $ 159.17 , salsas ,738
Caldos Fraccionados KNORR x 800gs Ver/Carne/Gall, $ 121.31 , caldos ,562
Caldos Cubos KNORR x 1kg Ver/Carne/Gall, $ 129.27 , caldos ,599
Caldos Granulados KNORR x 650gs Ver/Carne/Gall, $ 118.12 , caldos ,548
Sopa Crema KNORR x 630gs Gustos Varios, $ 92.51 , caldos ,429
Arroz Parboil x 5kgs DOS HERMANOS, $ 85.00 , fideos y arroces ,394
FIDEOS MOSTACHOL KNORR 12x 500gs, $ 226.44 , fideos y arroces ,1050
FIDEOS SPAGHETTI KNORR 12x500gs, $ 226.44 , fideos y arroces ,1050
FIDEOS TIRABUZON KNORR 12x500gs, $ 226.44 , fideos y arroces ,1050
FIDEOS TIRABUZON KNORR tricolor 12x500gs, $ 288.00 , fideos y arroces ,1335
Garbanzos Bolsa x 10kgs FINCAS ANDINAS, $ 289.00 , fideos y arroces ,1340
Lentejas Bolsa x 10kgs FINCAS ANDINAS, $ 312.00 , fideos y arroces ,1446
Maiz Blanco Bolsa x 10kgs FINCAS ANDINAS, $ 190.00 , fideos y arroces ,881
Polenta Bolsa x 10kgs FINCAS ANDINAS, $ 120.00 , fideos y arroces ,556
Porotos Pallares Bolsa x 10kgs FINCAS ANDINAS, $ -   , fideos y arroces ,0
Porotos ALUBIA x 10kgs FINCAS ANDINAS, $ 280.00 , fideos y arroces ,1298
Vino Blanco 12x1lt para cocina en tetrapack TERMIDOR, $ 248.00 , fideos y arroces ,1150
Vino Tinto 12x1lt para cocina en tetrapack TERMIDOR , $ 330.00 , fideos y arroces ,1530
ALMENDRAS x 2kgs FINCAS ANDINAS, $ 650.00 , frutas secas ,3013
AVELLANAS x 2kgs FINCAS ANDINAS , $ 858.00 , frutas secas ,3978
COCO RALLADO x 1kg BAVOSI, $ 100.80 , frutas secas ,467
FRUTAS SECAS Mix Tradicional x 2kgs FINCAS ANDINAS, $ 315.00 , frutas secas ,1460
NUEZ en CUARTAS x 2kgs FINCAS ANDINAS, $ 432.00 , frutas secas ,2003
NUEZ MARIPOSA Extra Light x 2kgs FINCAS ANDINAS, $ 432.00 , frutas secas ,2003
Batata x 2kgs CAYFAR, $ 45.00 , dulces ,209
Batata x 5kgs CAYFAR, $ 80.00 , dulces ,371
Batata c/Cacao x 2kgs CAYFAR, $ 45.00 , dulces ,209
Batata c/Cacao x 5kgs CAYFAR, $ 80.00 , dulces ,371
Membrillo x 2kgs CAYFAR, $ 45.00 , dulces ,209
Membrillo x 5kgs CAYFAR, $ 80.00 , dulces ,371
MIEL PURA x 1kg APIS-MEL, $ 70.00 , dulces ,325
Mermelada Individual VERONICA 108unid x 25gs, $ 153.00 , dulces ,709
Brownie CARTE DOR x 800gs , $ 100.75 , Postres ,467
Bizcochuelo ORLOC x 1kg, $ 39.00 , Postres ,181
Cacao Dulce ORLOC x 1kg, $ 36.00 , Postres ,167
Caramelo Líquido CIRCE pote x 1lt, $ 40.70 , Postres ,189
CHARLOTTE para decorar CHOGLU lata x 800grs, $ 55.00 , Postres ,255
Chocolate para Taza AGUILA caja 15unid. x 150gs , $ 493.00 , Postres ,2286
Esencia de Vainilla CIRCE x 2lts, $ 82.00 , Postres ,380
Flan Chocolate ORLOC x 1kg, $ 38.00 , Postres ,176
Flan Vainilla ORLOC x 1kg, $ 30.00 , Postres ,139
Gelatina OLORC CEREZA x 1kg, $ 48.00 , Postres ,223
Gelatina OLORC DURAZNO x 1kg, $ 48.00 , Postres ,223
Gelatina OLORC FRAMBUESA x 1kg, $ 48.00 , Postres ,223
Gelatina OLORC FRUTILLA x 1kg, $ 48.00 , Postres ,223
Gelatina OLORC NARANJA x 1kg, $ 48.00 , Postres ,223
Gelatina ORLOC sin sabor x 500gs, $ 170.00 , Postres ,788
GELATINA LIGHT ORLOC ANANA, $ 176.00 , Postres ,816
Mousse Chocolate ORLOC x 5kgs, $ 520.00 , Postres ,2411
Mousse Chocolate Blanco CARTE DOR x 1kg, $ 208.66 , Postres ,967
Mousse Chocolate Negro CARTE DOR x 1kg, $ 208.66 , Postres ,967
Mousse DULCE de LECHE CARTE DOR x 1kg, $ 208.66 , Postres ,967
Mousse FRUTOS ROJOS CARTE DOR x 1kg, $ 208.66 , Postres ,967
Mousse LIMON CARTE DOR x 1kg, $ 208.66 , Postres ,967
Mousse MARACUYA CARTE DOR x 1kg, $ 208.66 , Postres ,967
Petit Gateau CARTE DOR x 1kg, $ 104.54 , Postres ,485
Polvo de Hornear ORLOC x 500gs, $ 18.00 , Postres ,83
Postre de Chocolate ORLOC x 1kg, $ 29.00 , Postres ,134
Postre de Vainilla ORLOC x 1kg, $ 23.53 , Postres ,109
SALSA CARAMELO TAU DELTA x 390gs, $ 22.00 , Postres ,102
SALSA CHOCOLATE TAU DELTA x 390gs, $ 23.00 , Postres ,107
SALSA FRUTILLA TAU DELTA x 390gs, $ 26.00 , Postres ,121
SALSA FRUTOS ROJOS TAU DELTA x 390gs, $ 33.00 , Postres ,153
SALSA MARCUYA TAU DELTA x 390gs, $ 32.00 , Postres ,148
Tiramisu CARTE DOR x 1kg, $ 150.26 , Postres ,697
Azucar Impalpable 1/2kg ORLOC, $ 11.00 , Azúcar. Café y Té ,51
Azucar 1kg x 10unid. comun, $ 87.00 , Azúcar. Café y Té ,403
Azucar 5gs x 800unid. IXPAN, $ 135.00 , Azúcar. Café y Té ,626
Azucar Negra x 5kgs DEL PLATA, $ 14.00 , Azúcar. Café y Té ,65
Café Molido 1kg LA MORENITA, $ 126.00 , Azúcar. Café y Té ,584
Café Instant. 170gs x 12unid. ARLISTAN, $ 73.97 , Azúcar. Café y Té ,343
Café Santos Tostado 1kg PARANA Grano o Molido, $ 299.00 , Azúcar. Café y Té ,1386
Edulcorante 0.8gs x 400unid. IXPAN, $ 75.00 , Azúcar. Café y Té ,348
Mate Cocido 10 x 50 saquitos ensobrados ROSAMONTE, $ 251.00 , Azúcar. Café y Té ,1164
Te x 300 saquitos ensobrados ROSAMONTE, $ 115.00 , Azúcar. Café y Té ,533
Yerba Mate Suave 500gs x 10unid. ROSAMONTE, $ 260.00 , Azúcar. Café y Té ,1205
Puré de papas instantáneo KNORR bolsa x 20kgs, $ 1.436.19 , Puré de papas ,6658
Puré de papas instantáneo KNORR bolsa x 2kgs, $ 178.69 , Puré de papas ,828
Puré de papas LISTO PARA USAR KNORR bolsa x 700gs , $ 91.02 , Puré de papas ,422
